profession,n_male,n_female,n_nongender,male_female_cosine_dist,male_female_euclidean_dist,male_nongender_cosine_dist,male_nongender_euclidean_dist,female_nongender_cosine_dist,female_nongender_euclidean_dist,radius_male,radius_female,radius_nongender
accountant,0,0,1000,,,,,,,,,49.07283354332445
artist,11,13,986,0.017680179977009547,15.990675979549197,0.055127933036016374,28.016288477873,0.034310015666523586,21.70187874380413,0.44337856271366927,30.63550633722845,53.21689615431094
astronaut,11,0,999,,,0.02017906275701664,17.45033673169114,,,0.43128452883183643,,93.69598668470813
banker,19,0,981,,,0.12394436928455,41.27542024621876,,,36.11603196984159,,51.56432266889558
carpenter,43,0,957,,,0.052251230414873895,25.76435094402913,,,28.07235112338634,,43.038888342597716
chef,3,11,996,0.013793139899457296,14.327619790819737,0.12060443602967286,41.60190562269977,0.10523438163060539,39.18180887140902,17.117813609749284,0.436993341324822,59.76435382673336
doctor,9,11,990,0.02819849302814248,20.61502385156498,0.06404697892864053,30.10307807262435,0.11288350322895091,40.441844987350365,22.77951009368137,0.4363064033106859,52.15864166813815
engineer,11,0,999,,,0.14987762436084762,45.02708367601778,,,0.4395015410440625,,55.336537510771485
farmer,77,0,923,,,0.09890759511391345,36.43244579637456,,,39.899219151100674,,31.399535587054118
firefighter,19,0,981,,,0.0717164160922601,31.468911298414053,,,31.915421419840577,,46.26664487249488
lawyer,7,0,993,,,0.14850342957070317,45.39649138811153,,,17.770769730363224,,52.950442031552
musician,0,14,986,,,,,0.03465782002555029,21.628496748888015,,30.588773463249325,52.89346343615529
nurse,0,47,953,,,,,0.09166619572402468,36.79349982357647,,30.825094870033038,42.50519380261314
pilot,23,0,977,,,0.11218809750987702,38.904449726861465,,,41.36750272230447,,46.92323862969093
plumber,71,0,929,,,0.07226103232757897,31.128010865521553,,,27.665922134658334,,47.33673517534234
professor,9,0,991,,,0.12166424749162763,40.42029099673004,,,22.237421065322206,,53.06550872174927
receptionist,0,3,997,,,,,0.058275162037406125,28.727802229233735,,10.405843953763176,79.7591831872435
scientist,11,0,999,,,0.03236980473324502,22.257130171034877,,,0.4339513665372559,,55.78648087516615
teacher,2,4,994,0.05400647692033256,29.490677415671943,0.07049683080749758,33.65036456925518,0.06749330192173086,30.767603901421186,6.917122483483508,26.07628808602132,46.369110935199885
veterinarian,0,2,998,,,,,0.16933872854720344,46.658140712011686,,11.662618615295386,51.419634036272065
writer,2,5,993,0.05080570246694349,26.73666233337523,0.05078639207842839,26.582586670818504,0.009689225883390162,11.68537761721931,24.646217040945473,19.688697390307322,87.49910442833004
